Code client;Nom client;adresse livraison
000413;CAMPUS DES METIERS DES TRAVAUX PUBLICS;1409 RUE D'AIRE - BP 62, 62700 BRUAY LA BUISSIERE
002684;SOCIETE ABBEVILLOISE DES VINS LE VIGNOBL;141 CHAUSSEE DE PICARDIE, 76260 EU
201186;SARL WYBA MR BALAVOINE FRANCOIS;143 RUE DE MERVILLE, 59190 HAZEBROUCK
004408;LA CREPERIE DE SEBASTO;143 RUE DE SOLFERINO, 59000 LILLE
004071;MECHWIALEP SARL;143 RUE JULES GUESDE, 59000 LILLE
003953;CAFE DU RIVAGE M BOYARD VALENTIN;145 AVENUE DU RIVAGE, 80100 ABBEVILLE
001628;EHPAD SAINTE FAMILLE;146 AVENUE FERBER, 62250 MARQUISE
003823;SAS EDGARD DUVAL;1460 ZA DU LOOWEG, 59122 HONDSCHOOTE
003016;FEUTRIE BIO BETHUNE;147 RUE D'AIRE, 62400 BETHUNE
098137;ZEN DISTRIBUTIONS EURL;1476 RUE DE MAMETZ, 62120 ROQUETOIRE
004584;CENTRE HOSPITALIER ARROND. MONTREUIL;15 AVENUE FRANCOIS MITTERAND, 62310 FRUGES
014800;COMITES FETES GARE AIRE/LYS;15 BOULEVARD FOCH, 62120 AIRE SUR LA LYS
451199;COLLIER JULES;15 GRAND PLACE, 62550 PERNES
001581;ESTA-MINET;15 PLACE DU GENERAL DE GAULLE, 62350 ST VENANT
004527;ROTARY CLUB;15 PLACE DU MARECHAL LECLERC, 62130 ST POL SUR TERNOISE
004735;LAURENT DECLERCQ SCEA;15 ROUTE DE COLME, 59630 BROUCKERQUE
450502;MH RECEPTION;15 RUE CREMAREST, 62142 ALINCTHUN
002201;STE CHASSE - MARCEL BRAQUART;15 RUE DE LA CAVEE, 62960 LIGNY LES AIRE
001794;EPDSAE - MEF DU VALENCIENNOIS;15 RUE DE LA LIBERATION, 59269 ARTRES
004159;CAFE L'ESCAPADE;15 RUE DES BALANCES, 62000 ARRAS
630085;WILMOT RUCAR;15 RUE DES COOPERATEURS, 59220 DENAIN
000350;LES HALLES DE QUERCAMPS;15 RUE DES FIEFS, 62380 QUERCAMPS
004411;FEST'I BETHENCOURTOIS;15 RUE DU 8 MAI, 80530 BETHENCOURT SUR MER
001043;MY GOODNESS SARL//HUISSIER 09/24;15 RUE EDMOND FONTAINE, 80000 AMIENS
004519;CAP DES TERRITOIRES HAUTS DE FRANCE;15 RUE LITTRE, 59000 LILLE
004117;BOUCHERIE THOMAS;15 RUE ROGER SALENGRO, 62330 ISBERGUES
003806;EPDEF ARRAS;15 ZA LES ALOUETTES, 62223 ST NICOLAS LES ARRAS
005168;OUAKED CAFE DE LA MAIRIE;151 RUE DES GALTERIESS, 62920 CHOCQUES
002071;EPDSAE M.E.F. METROPOLE LILLE;152 A RUE ROGER SALENGRO, 59260 HELLEMMES LILLE
003499;MME ALIX PUNELLE;152 ALLEE DES MESANGES, 62520 LE TOUQUET PARIS PLAGE
001721;EPDSAE M.E.F. METROPOLE LILLE;152 RUE ROGER SALENGRO, 59260 HELLEMMES LILLE
004643;CAP DES TERRITOIRES HAUTS DE FRANCE;153 RUE ROGER SALENGRO, 59260 HELLEMMES LILLE
002970;CAFE DU COMMERCE;154 RUE DE MAMETZ, 62120 ROQUETOIRE
002973;LE COMMERCE VAE;154 RUE DE MAMETZ, 62120 ROQUETOIRE
003635;POISSONNERIE LUDO;154 RUE SADI CARNOT, 62400 BETHUNE
002000;LYCEE ANGELLIER;1540 BLD DE LA REPUBLIQUE, 59942 DUNKERQUE
001431;LA PLAZZA;155 RUE JEAN JAURES, 62330 ISBERGUES
003798;CAP DES TERRITOIRES HAUTS DE FRANCE;155, RUE ROGER SALENGRO, 59000 LILLE
542784;FAMILLE COPPIN FRANCOIS;156 ALLEE DES CHENES, 62152 NEUFCHATEL HARDELOT
003955;MD DISTRIBUTION SAS;159 CHEMIN DES MONTS, 76480 DUCLAIR
004161;T'ES UN VRAI BETHUNOIS SI;159 RUE DE LA DELIVRANCE, 62400 BETHUNE
001655;CENTRE HOSPITALIER ARROND. MONTREUIL;16 AVENUE DU DOCTEUR FOUCHET, 62600 BERCK
851348;RESTAURANT DE LA POSTE;16 PLACE DU MARECHAL LECLERC, 62130 ST POL SUR TERNOISE
004392;MAISON DESERT;16 RUE CARNOT, 80300 ALBERT
002303;HOTEL DU DEPARTEMENT;16 RUE D'ENGLOS, 59320 HAUBOURDIN
451205;MR JOEL TOURSEL;16 RUE DE CAMBLAIN, 62550 MAREST
004545;LE JEAN BART;16 RUE DE LA HOUSSE, 62000 ARRAS
003826;AU PRIX D'AMERIQUE;16 RUE FRANCOIS RINGOT, 62500 ST OMER
003456;AU LION DE BAUVIN;16 RUE JULES GUESDE, 59221 BAUVIN
003975;AU TIGRE DE BAUVIN;16 RUE JULES GUESDE, 59221 BAUVIN
095140;LES CAVES DE L'ABBAYE SAS;16 RUE VINCENT, 59230 SAINT AMAND LES EAUX
921120;NTL INTERNATIONAL B.V.;16 VAN LEEUWENHOEKWEG, 5482 TK SCHIJNDEL
002648;SAS KARAK;16-18 RUE HELENE BOUCHER, 93350 LE BOURGET
002626;VOIES NAVIGABLES DE FRANCE;160 RUE CHAUFFOUR, 59300 VALENCIENNES
001282;COLLEGE DU BRAS D OR;160 RUE DU BRAS D OR, 62170 MONTREUIL
002135;CENTRE HOSPITALIER CALAIS;1601 BOULEVARD DES JUSTES, 62100 CALAIS
201181;GCS BLANCHISSERIE INTER HOSPITALIERE;1601 BOULEVARD DES JUSTES, 62100 CALAIS
058400;LES TERRASSES BONDUES;1607 AVENUE GAL DE GAULLE, 59910 BONDUES
003728;UNIVERSITE DE LILLE;161 RUE D'ESQUERCHIN, 59500 DOUAI
004561;INSTITUT DEPARTEMENTAL ALBERT CALMETTE;163 RUE DU CHEMIN VERT, 62200 BOULOGNE SUR MER
200767;EHPAD SAINT CAMILLE PONT A MARCQ;164 RUE NATIONALE, 59710 PONT A MARCQ
004164;LE FOURGON;168 AVENUE DES MARRONNIERS, 33700 MERIGNAC
002672;L'UN DES SENS SAS;169 RUE AUGUSTE BIBLOCQ, 62155 MERLIMONT
002984;LE KIOSQUE;17 AVENUE DE LA REPULIQUE, 60000 BEAUVAIS
451092;DELOBELLE JEROME;17 LE PARADIS, 62190 LESPESSES
003730;CAP DES TERRITOIRES HAUTS DE FRANCE;17 PLACE JEAN JAURES, 62300 LENS
003371;LE BISTRONOME MR DAMIDE JULIEN;17 PLACE PIERRE BONHOMME, 62500 SAINT OMER
004603;LE COCHON QUI RIT;17 PLACE VICTOR HUGO, 62500 ST OMER
002509;ATOUTIME - GAMM VERT ROUVROY 224;17 ROUTE DE DROCOURT, 62320 ROUVROY
004659;LE MANOIR ORCHIES;17 ROUTE DE SECLIN, 59310 ORCHIES
002743;ATOUTIME - GAMM VERT IZEL 163;17 RUE DE VILLERS, 62690 IZEL LES HAMEAUX
004500;LE CAMPAGNON;17 RUE DU FAUX, 62127 TINCQUES
004531;LE WEEK-END;17 RUE JEAN JAURES, 59175 TEMPLEMARS
004679;CAP DES TERRITOIRES HAUTS DE FRANCE;17 RUE LAVOISIER, 62300 LENS
004744;AUX EPHERITES;17 RUE NICOLAS LEBLANC, 59000 LILLE
002370;MAISON RETRAITE BOURBOURG;17 RUE VERTE, 59630 BOURBOURG
073000;MAXI COFFEE;173 RUE HOUCHARD, 59140 DUNKERQUE
002007;EPDSAE M.E.F. METROPOLE LILLE;174 RUE DU GENERAL DE GAULLE, 59139 WATTIGNIES
451775;DANEL DOMINIQUE;1741 RUE PRINCIPALE, 62120 ST HILAIRE COTTES
200960;IME LE BEAU MARAIS;1749 RUE LUCIEN TRINEL, 62660 BEUVRY
002790;FOYER NORGUET;176 RUE DES CHARITABLES, 62700 BRUAY LA BUISSIERE
000915;LE CYRANO - MME ALINELLI;176 RUE EMILE BASLY, 62141 EVIN MALMAISON
003861;FACTORIA HDF;178 RUE DE LA FAIENCERIE, 62400 BETHUNE
000875;CAMPING DU SOLEIL - MME STASIAK;179 RUE DE BERCK, 80790 FORT MAHON PLAGE
451285;LOMBART ROLANDE;179 RUE DE PERNES, 62190 AUCHY AU BOIS
003368;CHEZ LAURENT;18 B RUE PAUL DUMONT, 62690 AUBIGNY EN ARTOIS
080091;ESPRIT EVENTS;18 BIS RUE D'ANJOU, 75008 PARIS 8EME ARRONDISSEMENT
003943;DELLANDIS - CARREFOUR CONTACT HUCQUELIER;18 BIS RUE DE LA LONGEVILLE, 62650 HUCQUELIERS
004485;CAP DES TERRITOIRES HAUTS DE FRANCE;18 BOULEVARD DE L'EPINETTE, 59600 MAUBEUGE
004305;CULTURE PASSION PARTAGEE;18 PLACE DE LA LIBERATION, 62575 BLENDECQUES
004726;ASSOCIATION LES ROBINS DES RUES;18 PLACE SAINT LEONARD, 62300 LENS
004298;TEREOS FRANCE;18 ROUTE NATIONALE, 62170 ATTIN
080139;SVS LA MARTINIQUAISE;18 RUE DE L'ENTREPOT, 94220 CHARENTON LE PONT
002094;EPDSAE M.E.F. METROPOLE LILLE;18 RUE DE L'YSER, 59139 WATTIGNIES
001678;LE COMPTOIR DES PIZZAS;18 RUE DE LA MER, 62100 CALAIS
002766;ATOUTIME GAMM VERT SAINT MARCEL 424;18 RUE DE LA POSTE, 27950 ST MARCEL
008480;COLLEGE DE L'ESPLANADE;18 RUE DU GENERAL LECLERC, 62505 ST OMER CEDEX
004174;APEL SAINTE CLOTILDE;18 RUE EMILE ZOLA, 80000 AMIENS
003821;LE FOURGON;18 RUE JEAN PERRIN, 31000 TOULOUSE
000841;CORA VILLENEUVE D ASCQ - FLM;18 RUE JULES GUESDE, 59491 VILLENEUVE D ASCQ
004400;LINSELLES BASKET;18 RUE MARTIN LUTHER KING, 59126 LINSELLES
004665;LA PASSERELLE;18 RUE NOTRE DAME, 59190 HAZEBROUCK
002156;NOUVELLE CLINIQUE VILLETTE;18 RUE PARMENTIER, 59140 DUNKERQUE
000999;SDIS DU PAS DE CALAIS;18 RUE RENE CASSIN, 62052 ST LAURENT BLANGY CEDEX
001788;EPDSAE - MEF DU DOUAISIS;180 RUE D ALBERGOTTI, 59500 DOUAI
001245;LES OUVREES - M VALERY GAUME;180 RUE DU ROSSIGNOL, 59310 AUCHY LES ORCHIES
098138;PACK & CO SAS;1800 RUE DE MAMETZ, 62120 ROQUETOIRE
004638;LE XV D'ABBEVILLE;181 COTE DE LA JUSTICE, 80100 ABBEVILLE
004651;CONSEIL DEPARTEMENTAL DU PAS DE CALAIS;181 RUE FREDERIC JOLIOT CURIE, 62232 ANNEZIN
002282;DEPARTEMENT DU NORD;183 RUE DE L ECOLE MATERNELLE, 59140 DUNKERQUE
004043;VITALREST EHPAD LES EDELWEISS;185 RUE DE LILLE, 59554 NEUVILLE ST REMY
003570;LE LONGPRE - MME YANG;189 RUE ST LEU, 80000 AMIENS
001889;SUPERMARCHE MATCH;19 AVENUE DE LA ROTONDE, 59160 LOMME
080047;BACARDI MARTINI FRANCE;19 AVENUE MICHELET, 93401 SAINT OUEN CEDEX
003606;L'ENTRACTE CODE COMPTABLE;19 BOULEVARD VAUBAN, 80100 ABBEVILLE
002654;LES GOURMETS DU CROISE;19 PLACE DU GENERAL LECLERC, 59700 MARCQ EN BAROEUL
004294;ROCK MARIN'S;19 PLACE ST MARTIN, 80230 ST VALERY SUR SOMME
003874;2 JP EVENTS;19 RUE ANATOLE JOUANCOUX, 80380 CACHY
003598;APPART'CITY;19 RUE BERTHE MORISOT, 59000 LILLE
004473;CHEZ LULU;19 RUE D'ARRAS, 62120 AIRE SUR LA LYS
015100;FOOTBALL CLUB D'ESTREE BLANCHE;19 RUE DE L'EGLISE, 62145 ESTREE BLANCHE
001997;CH ST AMAND - MAGASIN CENTRAL;19 RUE DES ANCIENS D AFN, 59230 ST AMAND LES EAUX
004391;COSS CAFE;19 RUE DU BOSQUIEL, 59910 BONDUES
003291;FOYER UNILASALLE;19 RUE PIERRE WAGUET, 60000 BEAUVAIS
001806;EPDSAE - MEF ROUBAIX TOURCOING;190 AVENUE CHARLES DE GAULLE, 59510 HEM
099210;S.D.F.B.;1903 RUE DU BEAU MARAIS, 62100 CALAIS
080192;BRASSERIE JOHN MARTIN NV SA;191 RUE DU CERF, B1332 GENVAL
002265;LES TERRASSES DU PORT;193 IMPASSE ROUTE NATIONALE, 62350 HAVERSKERQUE
004490;MOUSSE ET TANIN;196 RUE DU BOURG, 59130 LAMBERSART
004009;EPLEFPA DES FLANDRES;1972 RUE DE LEFFRINCOUCKE, 59140 DUNKERQUE
001446;EURL LEGER SPIRITUEUX-BOUCHONS ET DELICE;199 AVENUE DE LA FORET, 62360 LA CAPELLE LES BOULOGNE
001379;UNITE LOCALE DE SOINS LA ROSERAIE;199 RUE CAUDRON, 62700 BRUAY LA BUISSIERE
003538;SARL LNB - L'IMPREVU;199 RUE GAMBETTA, 62400 BETHUNE
003956;DELIRIUM CAFE COMPIEGNE;1B PLACE SAINT JACQUES, 60200 COMPIEGNE
004668;LE MOULIN DES PAPILLES;1B RUE DU MOULIN, 80160 FREMONTIERS
201119;VILLE DE LIEVIN;"1ER ETAGE CENTRE ADM""LES GRANDS BUREAUX"", 62800 LIEVIN"
002659;SPAR GRAVELINES - SAS VESPAR;2 - 4 RUE PASTEUR, 59820 GRAVELINES
004439;FC ARTIFICES;2 AU SENTIER DU CHENE, 80390 NIBAS
002656;SNC LE CHIQUITO;2 AVENUE AUGUSTIN FLAMENT, 62700 BRUAY LA BUISSIERE
003858;LA PETITE BAVIERE;2 AVENUE DE CAMBRAI, 62176 CAMIERS
061047;ECO BOIS NORD SARL;2 AVENUE DE LA PAIX, 62980 NOYELLES LES VERMELLES
004492;CARREFOUR CAMBRAI;2 AVENUE GEORGES NUTTIN, 59400 CAMBRAI
000763;CORA CAMBRAI - CAM;2 AVENUE GEORGES NUTTIN, 59400 CAMBRAI
451669;PLAYOULT JEREMY;2 B RUE À L'EAU, 62960 WESTREHEM
200861;COLLEGE A. CAMUS;2 BIS AV B. CHOCHOY, 62380 LUMBRES
098220;MAISON PLOUVIER SARL;2 BIS IMPASSE NOTRE DAME DES VICTOIRES, 59181 STEENWERCK
098700;SAS BVB;2 BIS QUAI DES MACONS, 59380 BERGUES
004013;LE CONTEMPORAIN;2 BIS RUE DE TINCQUES, 62127 PENIN
004308;FOOTBALL CLUB DE LILLERS;2 BIS RUE DU MARECHAL LECLERC, 62190 LILLERS
201145;DEPARTEMENT DU NORD;2 BIS RUE JACQUEMARS GIELEE, 59000 LILLE
004448;ROSE KEBAB;2 BOULEVARD BREBION, 62140 HESDIN
001953;MANOIR DES LYS - ROMAIN FORIEL;2 BOULEVARD DE LA PAIX, 62260 AUCHEL
001382;RESIDENCE GUY MOLLET;2 BOULEVARD DE LA PAIX, 62420 BILLY MONTIGNY
004498;CAP DES TERRITOIRES HAUTS DE FRANCE;2 BOULEVARD DES CITES UNIES, 59000 LILLE
002796;VOIES NAVIGABLES DE FRANCE;2 CHEMIN DU HALAGE, 59620 AULNOYE AYMERIES
080117;BONO DISTRIBUTION;2 CHEMIN DU PONT DE LA CHAPELLE, 76350 OISSEL
025825;RESIDENCE DU CHEMIN VERT;2 CHEMIN VERT, 59132 TRELON
004549;LE GAULOIS;2 ET 4 PLACE DROUET D'ERLON, 51100 REIMS
200679;CENTRE HOSPIT DE CAMBRAI;2 GRAND RUE FENELON, 59407 CAMBRAI
004749;L'EDITO DIJON;2 PLACE DARCY, 21000 DIJON
004451;BISCUITERIE DUNKERQUOISE;2 PLACE DE LA GARE, 59380 BERGUES
003562;CCAS D'HAILLICOURT;2 PLACE JEAN JAURES, 62940 HAILLICOURT
001877;MAIRIE D'HAILLICOURT;2 PLACE JEAN JAURES, 62940 HAILLICOURT
004438;MAISON DE LA CULTURE D'AMIENS;2 PLACE LEON GONTHIER, 80000 AMIENS
000436;DEROO HELENE L'APPARTEMENT;2 PLACE PIERRE BONHOMME, 62500 ST OMER
004156;CAFE DU TENNIS;2 ROUTE D'ALBERT, 80800 SAILLY LAURETTE
200964;ECOLE SAINT JOSEPH EPERLECQUES;2 ROUTE DE MOULLE, 62910 EPERLECQUES
003443;BARLIN KEBAB;2 RUE ALBERT LEGRAND, 62620 BARLIN
004552;COMITE DES FETES CHELERS;2 RUE BASSE, 62127 CHELERS
004363;RADIANCE SAS;2 RUE BRULEE, 80260 NAOURS
000925;L'ENTREPOT - STEPHANE DUBREUCQ;2 RUE BUFFON, 76600 LE HAVRE
201213;C.H. VALENCIENNES DIRECT.;2 RUE CHARLES GIRAUD, 59880 ST SAULVE
040100;LE CHANTEAUVANT - DACHICOURT MARYLINE;2 RUE CHAUSSEE BRUNEHAUT, 62380 LEDINGHEM
002742;ATOUTIME - GAMM VERT HUCQUELIERS 162;2 RUE DE L'EGLISE, 62650 HUCQUELIERS
004250;ECOLE LA FONTAINE-PREVERT;2 RUE DE LA CALANDRE, 62130 ST POL SUR TERNOISE
003758;MME NICOLE BAROIS;2 RUE DE LA POTERNE, 59358 ORCHIES CEDEX
201155;RESIDENCE MARGUERITE DE FLANDRE;2 RUE DE LA POTERNE, 59310 ORCHIES
002720;ATOUTIME - GAMM VERT CLAIROIX 309;2 RUE DE ROYE, 60200 CLAIROIX
002390;LYPSO SITE AA;2 RUE DES BEGUINES, 692505 SAINT-OMER
004681;CAP DES TERRITOIRES HAUTS DE FRANCE;2 RUE DES CAPUCINES, 59310 ORCHIES
003771;RESIDENCE OBERT;2 RUE DES ECOLES, 59118 WAMBRECHIES
002403;MONSIEUR LE ZINC - SAS GGS;2 RUE DES FAISANS, 59000 LILLE
004304;IMPRIMERIE NATIONALE;2 RUE DES FRERES BEAUMONT, 59128 FLERS EN ESCREBIEUX
080010;HEINEKEN ENTREPRISE;2 RUE DES MARTINETS, 92500 RUEIL MALMAISON
097119;JAVA DISTRIBUTION;2 RUE DES TILLEULS, L8832 ROMBACH-MARTELANGE
004390;LES TRANSES DE MARIE GRAUETTE;2 RUE DU 8 MAI, 62127 MONCHY BRETON
004481;SAS DETOURNE;2 RUE DU 8 MAI, 62127 MONCHY BRETON
851312;MR TIRMARCHELA TULIPE D OR;2 RUE DU BEL AIR, 59790 RONCHIN
004193;LES JARDINS DE SERICOURT;2 RUE DU BOIS, 62270 SERICOURT
004495;MC QUEEN;2 RUE DU CAMPING, 62179 WISSANT
004593;CAP DES TERRITOIRES HAUTS DE FRANCE;2 RUE DU COMMANDANT FABRY, 59410 ANZIN
002191;SOLERA WINE - VINOPHILIE;2 RUE DU GRAND SERMON, 62170 MONTREUIL SUR MER
099151;LES PANIERS D'ISABELLE;2 RUE DU MARAIS, 80113 RIBEMONT SUR ANCRE
002522;DREAM'S - EURL EDDYDREAM'S;2 RUE DU MYNCK, 62500 ST OMER
004705;VINTAGE KITCHEN - EMBLA;2 RUE DU PAS, 59000 LILLE
099540;PARIS NORD BOISSONS;2 RUE EUGENE HOUDRY, 95410 GROSLAY
094110;PLANETE SOIF SARL RJ 28 06 2023;2 RUE GUSTAVE COURBET, 62100 CALAIS
200329;DAUTREMEPUIS PASCAL;2 RUE GUY MOLLET, 62113 VERQUIGNEUL
001792;EPDSAE - MEF DU VALENCIENNOIS;2 RUE HECTOR MICHAUX, 59163 CONDE SUR L ESCAUT
000809;EHPAD SOLEIL D AUTOMNE;2 RUE HENRI BARBUSSE, 62223 ST LAURENT BLANGY
098110;SAS BIBE FAM;2 RUE JEAN BART, 62114 SAINS EN GOHELLE
001458;AUCHAN HYPERMARCHE SAS;2 RUE JEAN JAURES, 59161 ESCAUDOEUVRES
003658;LA PICANORDIE;2 RUE JEAN JAURES, 80000 AMIENS
004695;LE REVE EN SOMME;2 RUE PRINCIPALE, 80230 SAIGNEVILLE
003573;LE MARMARIS - IDIL SASU;2 RUE VERMAELEN, 62390 AUXI LE CHATEAU
004748;LA CHAISE AU PLAFOND;2 RUE VINCENT VAN GOGH, 59810 LESQUIN
098421;CAVES SAINT-POLOISES - MR DEMONT DANIEL;2, RUE DE FREVENT, 62130 ST POL SUR TERNOISE
200983;LYCEE PROFESSIONNEL SAVARY FERRY;20 AVENUE JEAN ZAY, 62000 ARRAS
002125;CENTRE HOSPITALIER DE ROUBAIX;20 AVENUE JULIEN LAGACHE, 59100 ROUBAIX
003759;EHPAD LA FLEUR DE L'AGE;20 BIS ALLEE DES SPORTS, 59960 NEUVILLE EN FERRAIN
004697;LA PIZZA 9 SAS;20 BOULEVARD DE LYON, 02000 LAON
001173;R DE SAVEURS - M ET MME WOJTKOWIAK;20 GRAND PLACE, 62120 AIRE SUR LA LYS
004627;CREPERIE LA BELLE EPOQUE;20 PLACE MAX LEJEUNE, 80100 ABBEVILLE
004130;SAS HOTEL LE GAYANT;20 PLACE PIERRE BROSSOLETTE, 59500 DOUAI
001691;EPDEF ARRAS;20 ROUTE DE BETHUNE, 62223 STE CATHERINE
000675;PATISFRAIS;20 ROUTE DE POPERINGHE, 59114 STEENVOORDE
004320;L'ATELIER DE CLEMENT;20 ROUTE NATIONALE, 62127 TINCQUES
002770;VOIES NAVIGABLES DE FRANCE;20 RUE DE BAPAUME, 59169 FERIN
004136;VITALREST TOURCOING;20 RUE DE GAND, 59200 TOURCOING
003763;ETS BERNARD LEGILLON;20 RUE DE LA BOUCHAUDE, 62840 LAVENTIE
002242;L'EPHEMERE OLIVIER PRUVOST;20 RUE DE LA CLEF, 59190 HAZEBROUCK
800074;A.S.C. FOOTBALL HAZEBROUCK;20 RUE DE LA PLAINE, 59190 HAZEBROUCK
546213;PG OVERSTOCKS;20 RUE DU BARRI, 11700 DOUZENS
004270;CARREFOUR CONTACT LE MAISNIL;20 RUE DU HAUT QUESNOY, 59134 LE MAISNIL
040500;COLLEGE F.MITTERRAND THEROUANNE;20 RUE DU MARAIS, 62129 THEROUANNE
001359;CENTRE HOSPITALIER LOOS HAUBOURDIN;20 RUE HENRI BARBUSSE, 59374 LOOS CEDEX
201171;EPDSAE - FOYER DE VIE CLAUDE JOURDAIN;20 RUE ROGER SALENGRO, 59132 TRELON
200846;LYCEE DU DETROIT;200 RUE APOLLINAIRE, 62107 CALAIS
080050;ORANGINA SCHWEPPES FRANCE;200 RUE PIERRE DUHEM, 13290 AIX EN PROVENCE CEDEX 03
200516;ALEFPA LILLE;201 RUE COLBERT, 59000 LILLE
004186;APE LE PETIT RUCHER PASTEUR;205 RUE JOSEPH DUPONCHEL, 62330 ISBERGUES
007704;EPC LES PASSERELLES - LA SOURCE;206 RUE DE GUARBECQUE BP 34, 62350 ST VENANT
004634;LE MANOIR DE CAMBLAIN;207 RUE D'ARRAS, 62690 CAMBLAIN L ABBE
001182;AU VETERAN - MELONI PASCAL;208 RUE INGRES, 59100 ROUBAIX
630412;BRASSERIE BELLUS;209 RUE ST MARTIN, 62110 HENIN BEAUMONT
002406;ATOUTIME - GAMM VERT MEULAN 403;21 AVENUE DES AULNES, 78250 MEULAN
003628;LYCEE PROFESSIONNEL DE L'ACHEULEEN;21 BIS RUE DU 31 AOUT 1944, 80094 AMIENS CEDEX 3
451743;GALLET CHRISTIAN;21 ROUTE NATIONALE, 62260 CAUCHY A LA TOUR
451201;ROCHE GERARD;21 RUE BASSE BOULOGNE, 62145 ENGUINEGATTE
451295;DANVIN BENOIT;21 RUE DE LA CAVEE, 62960 LIGNY LES AIRE
062704;BETREMIEUX GERARD;21 RUE DENIS CORDONNIER, 59120 LOOS
001796;EPDSAE - MEF DU VALENCIENNOIS;21 RUE DU PRINCE DE TINGRY, 59300 VALENCIENNES
003589;NEUF DIXIEME;21 RUE EDMOND FONTAINE, 80000 AMIENS
004277;ESPACE COMMUNICATION;21 RUE EDOUARD HERRIOT, 62400 BETHUNE
004281;GALAXY;21 RUE EDOUARD HERRIOT, 62400 BETHUNE
004278;LE JOURNAL;21 RUE EDOUARD HERRIOT, 62400 BETHUNE
200647;COMMUNAUTE AGGLOMERATION LENS-LIEVIN B01;21 RUE MARCEL SEMBAT, 62302 LENS CEDEX
004502;LE 21EME;21 RUE NATIONALE, 59200 TOURCOING
003778;NOUVELLE CARTE - ASSOCIATION POLYGONE;210 RUE SAINT LEU, 80000 AMIENS
451064;HOCHART OLIVIER;211 RUE D'HURIONVILLE, 62190 AMES
201190;EPDSAE SIEGE;212 RUE LOUIS BRAILLE, 59790 RONCHIN
004330;FOYER DES ELEVES LYCEE AGRICOLE;22 ANCIENNE ROUTE NATIONALE, 62690 SAVY BERLETTE
002260;COLLEGE PAYS DE L'ALLOEU;22 AVENUE HENRI PUCHOIS, 62840 LAVENTIE
451194;LECLERCQ EMILE;22 BIS RUE DE PERNES, 62190 AUCHY AU BOIS
004410;CARREFOUR MARKET AMIENS;22 BIS RUE DU GENERAL LECLERC, 80000 AMIENS
098600;BRASSERIE LAMBELIN;22 CHEMIN DES MARGUERITOIS, 59155 FACHES THUMESNIL
004017;CHEZ LEGRIS;22 ROUTE NATIONALE 39, 62127 TINCQUES
003822;LE FOURGON;22 RUE ALEXIS HALETTE, 62300 LENS
004725;RJ EVENTS ETRIER DE PARIS;22 RUE DE LA GARE, 62330 MOLINGHEM
200889;COLLEGE STE AUSTREBERTHE;22 RUE DE LA LICORNE, 62170 MONTREUIL
003605;AUX DELICES DU SAUCISSON;22 RUE DE LA PLANQUETTE, 62138 AUCHY LES MINES
062000;BEDAGUE COMITE SOCIAL ET ECONOMIQUE;22 RUE DE LILLE, 62120 AIRE SUR LA LYS
069221;ECHANTILLON GRATUITE DIRECTION;22 RUE DE LILLE, 62120 AIRE SUR LA LYS
999515;ECHANTILLONS ARTHUR GARBE;22 RUE DE LILLE, 62120 AIRE SUR LA LYS
999504;ECHANTILLONS FABIEN MOREELS;22 RUE DE LILLE, 62120 AIRE SUR LA LYS
999505;ECHANTILLONS GEORGES RICART;22 RUE DE LILLE, 62120 AIRE SUR LA LYS
999509;ECHANTILLONS HENRI LOMBART;22 RUE DE LILLE, 62120 AIRE SUR LA LYS
999517;ECHANTILLONS PHILIPPE MARSILLE;22 RUE DE LILLE, 62120 AIRE SUR LA LYS
999516;ECHANTILLONS VALERIE LEGRIN;22 RUE DE LILLE, 62120 AIRE SUR LA LYS
004062;L'ARTISAN GOURMAND - CODE COMPTABLE;22 RUE DES PORTES COCHERES, 62000 ARRAS
002386;LES VIGNOBLES DU CHATEL;22 RUE DU BOIS MOUSSAY, 93240 STAINS
004378;CARREFOUR CONTACT CONTY;22 RUE HENRI DUNANT, 80160 CONTY
004104;VIRTUAL CONNECTION;22 RUE ILE MYSTERIEUSE, 80440 BOVES
002736;ATOUTIME - GAMM VERT FREVENT 161;22 RUE ST HILAIRE, 62270 FREVENT
004647;CAP DES TERRITOIRES HAUTS DE FRANCE;222 RUE PIERRE BERIOT, 59220 DENAIN
003639;VILLE DE CALAIS-DIRECT DES RESS FINANC;23 BOULEVARD GAMBETTA, 62100 CALAIS
004670;LE RELAIS CAMPAGNARD;23 ROUTE NATIONALE, 62760 POMMERA
004381;CAFE DU CENTRE;23 RUE BERNARD CHOCHOY, 62380 ELNES
642548;MAIRIE DE BARLIN;23 RUE D HOUCHIN, 62620 BARLIN
001176;CENTRE HOSPITALIER ARMENTIERES;23 RUE DE MARECHAL DE LATTRE DE TASSIGNY, 59280 ARMENTIERES
001137;GROUPE AHNAC;23 RUE DES CHARMILLES, 62620 BARLIN
002396;AURELIEN DUMUR - BOUCHERIE CHEZ AURELIEN;23 RUE FLORENT EVRARD, 62260 AUCHEL
004734;LA FINE BULLE;23 RUE PORTE LUCAS, 51200 EPERNAY
004512;CAP DES TERRITOIRES HAUTS DE FRANCE;235 RUE DU BOIS, 59232 VIEUX BERQUIN
004890;LE RETRO REST PIZZERIA MR VANPOULLE;239 RUE FRANCOIS MITTERRAND, 62232 VENDIN LES BETHUNE
