Code client;Nom client;adresse livraison
004514;CAP DES TERRITOIRES HAUTS DE FRANCE;1 RUE DU CHEMIN NOIR, 59160 LOMME
095100;DELEPINE ETS SARL;1 RUE DU CRIQUET, 62145 LIETTRES
200948;MAISON DOMINICAINE DE RETRAITE;1 RUE DU GENERAL DE GAULLE, 62132 HARDINGHEN
003784;CENTRE HOSPITALIER ARROND. MONTREUIL;1 RUE DU GENERAL MARSILLIERE, 62630 ETAPLES
004597;AUCHAN HYPERMARCHE SAS;1 RUE DU GRAND MONTREJEAU, 49000 ANGERS
050030;DES EAUX MINERALES D'EVIAN;1 RUE DU MONT/CS 80010, 81700 BLAN
004416;NYSOS SAS;1 RUE DU MOULIN, 80340 ETINEHEM
002150;LYCEE JEAN BART DUNKERQ.;1 RUE DU NOUVEL ARSENAL, 59383 DUNKERQUE CEDEX 1
002678;EPDEF ARRAS;1 RUE DU PRESIDENT ALLENDE, 62219 LONGUENESSE
450260;GARAGE DAUCHEZ HADRIEN;1 RUE DU STADE, 62120 QUIESTEDE
004717;UNEAL ARTOIS;1 RUE DU VENT DE BISE, 62810 GRAND RULLECOURT
002074;EPDSAE M.E.F. METROPOLE LILLE;1 RUE GEORGES POTIÉ, 59120 LOOS
004068;LES CAVES DE GONDECOURT;1 RUE GERMAIN DELEBECQUE, 59147 GONDECOURT
004241;COMITE DES FETES BAILLEUL AUX CORNAILLES;1 RUE HAUTE, 62127 BAILLEUL AUX CORNAILLES
004057;COMMUNE DE BAILLEUL AUX CORNAILLES;1 RUE HAUTE, 62127 BAILLEUL AUX CORNAILLES
001480;RESIDENCE CLOOSTERMEULEN;1 RUE JEAN DE LA FONTAINE, 59114 STEENVOORDE
200703;RESIDENCE JEAN MOULIN;1 RUE JEAN MOULIN, 62300 LENS
002732;ATOUTIME - GAMM VERT FEIGNIES 006;1 RUE JOSEPH CUGNOT, 59750 FEIGNIES
003767;ETS PEPIN;1 RUE JULES FERRY, 59410 ANZIN
004253;AUCHAN HYPERMARCHE SAS;1 RUE L'ABBE GREGOIRE, 57140 WOIPPY
001428;HDF EMBALLAGES;1 RUE LAVOISIER - ZI N1, 62113 LABOURSE
004157;VG BOISSONS;1 RUE LEON GAMBETTA, 80250 JUMEL
